"","Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","CP","UP","ED","DE","CM","GA","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
"1",2024-03-07,2024,"Round 0","SCG","Isaac Heeney","Sydney","Melbourne","Home",11174,18,10,18,69.2,0,1,1,4,0,79,17,9,26,5,1,1,7,0,8,13,2,2,2,0,121,144,4,9,12,619,2,4,1
"2",2024-03-07,2024,"Round 0","SCG","Nick Blakey","Sydney","Melbourne","Home",11174,6,16,18,69.2,1,2,0,6,6,78,18,8,26,9,0,0,0,0,6,0,2,7,2,0,99,117,0,0,4,529,3,6,0
"3",2024-03-07,2024,"Round 0","SCG","Chad Warner","Sydney","Melbourne","Home",11174,11,17,19,73.1,0,2,0,2,1,81,17,9,26,4,1,1,1,0,12,2,7,1,2,2,88,118,1,1,8,588,7,2,0
"4",2024-03-07,2024,"Round 0","SCG","Brodie Grundy","Sydney","Melbourne","Home",11174,15,7,10,43.5,2,0,0,4,0,78,12,11,23,4,0,0,6,33,5,9,9,1,3,4,118,139,2,7,7,254,6,5,0
"5",2024-03-07,2024,"Round 0","SCG","James Rowbottom","Sydney","Melbourne","Home",11174,14,8,12,57.1,0,0,0,1,0,79,12,9,21,0,0,2,7,0,5,6,4,2,2,3,77,94,1,5,4,343,7,5,2
"6",2024-03-07,2024,"Round 0","SCG","Tom Papley","Sydney","Melbourne","Home",11174,10,9,13,65,0,0,2,3,0,81,15,5,20,4,1,1,3,0,4,3,1,1,1,0,87,120,1,2,9,404,4,2,2
"7",2024-03-07,2024,"Round 0","SCG","Justin McInerney","Sydney","Melbourne","Home",11174,6,15,14,70,0,0,0,0,0,86,7,13,20,6,1,0,4,1,1,1,4,2,0,3,79,76,0,1,3,129,3,2,0
"8",2024-03-07,2024,"Round 0","SCG","Errol Gulden","Sydney","Melbourne","Home",11174,9,14,11,55,0,0,0,2,0,89,16,4,20,2,0,1,2,0,5,2,4,2,1,1,69,77,0,2,4,442,8,3,0
"9",2024-03-07,2024,"Round 0","SCG","Dane Rampe","Sydney","Melbourne","Home",11174,7,10,15,78.9,0,0,0,4,0,87,13,6,19,6,0,0,0,0,1,0,1,6,1,0,70,83,0,0,2,519,3,7,0
"10",2024-03-07,2024,"Round 0","SCG","Matthew Roberts","Sydney","Melbourne","Home",11174,1,13,18,94.7,0,0,0,1,0,84,16,3,19,8,0,0,3,0,1,0,1,3,1,0,91,76,0,0,1,260,2,3,0
"11",2024-03-07,2024,"Round 0","SCG","Harry Cunningham","Sydney","Melbourne","Home",11174,3,15,14,77.8,0,0,1,5,0,83,14,4,18,10,0,0,3,0,2,1,1,0,0,0,92,86,0,1,0,253,3,5,0
"12",2024-03-07,2024,"Round 0","SCG","Oliver Florent","Sydney","Melbourne","Home",11174,8,8,12,66.7,0,0,0,1,0,91,10,8,18,3,1,0,2,0,2,3,1,7,0,0,69,75,0,3,1,374,6,5,0
"13",2024-03-07,2024,"Round 0","SCG","James Jordon","Sydney","Melbourne","Home",11174,6,13,14,77.8,0,0,0,2,0,71,8,10,18,3,0,0,7,0,4,2,3,2,1,2,76,81,0,2,3,158,3,2,2
"14",2024-03-07,2024,"Round 0","SCG","Braeden Campbell","Sydney","Melbourne","Home",11174,3,15,12,75,0,0,0,1,0,68,12,4,16,7,0,0,2,0,5,1,2,2,1,0,74,53,0,1,2,378,4,4,0
"15",2024-03-07,2024,"Round 0","SCG","Jake Lloyd","Sydney","Melbourne","Home",11174,5,9,11,84.6,0,0,0,3,0,83,8,5,13,5,0,0,2,0,1,0,2,1,2,1,56,70,0,0,1,142,3,4,0
"16",2024-03-07,2024,"Round 0","SCG","Will Hayward","Sydney","Melbourne","Home",11174,2,9,6,60,0,0,2,4,0,83,8,2,10,4,2,0,2,0,0,0,2,1,0,0,60,83,0,0,3,195,3,0,1
"17",2024-03-07,2024,"Round 0","SCG","Robbie Fox","Sydney","Melbourne","Home",11174,5,4,5,55.6,0,0,0,4,0,91,6,3,9,2,1,1,6,0,0,1,4,0,2,2,57,50,0,1,2,90,5,1,4
"18",2024-03-07,2024,"Round 0","SCG","Tom McCartin","Sydney","Melbourne","Home",11174,4,6,7,77.8,1,0,0,4,0,97,7,2,9,7,0,0,0,0,0,0,3,1,0,0,46,47,0,0,1,91,1,6,0
"19",2024-03-07,2024,"Round 0","SCG","Logan McDonald","Sydney","Melbourne","Home",11174,4,4,4,50,2,0,1,2,0,83,5,3,8,3,1,0,1,0,2,0,3,0,0,1,37,30,0,0,5,189,2,1,0
"20",2024-03-07,2024,"Round 0","SCG","Lewis Melican","Sydney","Melbourne","Home",11174,1,2,5,100,0,0,0,6,0,80,4,1,5,2,0,0,0,0,0,0,0,1,0,0,20,30,0,0,2,47,0,5,0
"21",2024-03-07,2024,"Round 0","SCG","Hayden McLean","Sydney","Melbourne","Home",11174,4,1,3,60,1,0,1,7,0,76,4,1,5,2,2,2,2,10,1,0,5,0,0,4,40,44,0,0,4,150,1,2,0
"22",2024-03-07,2024,"Round 0","SCG","Sam Wicks  ↙","Sydney","Melbourne","Home",11174,4,1,5,100,1,0,1,0,0,30,2,3,5,2,1,0,1,0,0,1,1,0,0,1,25,37,0,1,3,47,0,1,0
"23",2024-03-07,2024,"Round 0","SCG","Joel Amartey  ↗","Sydney","Melbourne","Home",11174,0,2,0,0,0,0,0,1,0,43,3,0,3,1,0,1,2,2,0,0,1,0,0,0,23,7,0,0,1,78,2,0,1
"24",2024-03-07,2024,"Round 0","SCG","Jack Viney","Melbourne","Sydney","Away",11174,14,17,21,70,0,1,0,2,0,79,19,11,30,2,2,0,7,0,9,7,7,1,4,2,123,138,3,4,7,625,9,3,4
"25",2024-03-07,2024,"Round 0","SCG","Clayton Oliver","Melbourne","Sydney","Away",11174,10,14,21,70,0,1,0,1,0,82,18,12,30,2,0,0,2,0,6,6,3,0,0,1,89,90,2,4,5,417,6,2,1
"26",2024-03-07,2024,"Round 0","SCG","Christian Salem","Melbourne","Sydney","Away",11174,15,12,15,55.6,0,0,0,0,0,80,20,7,27,5,0,0,3,0,5,5,6,4,0,2,95,93,1,4,1,558,6,4,0
"27",2024-03-07,2024,"Round 0","SCG","Christian Petracca","Melbourne","Sydney","Away",11174,13,12,18,69.2,0,1,0,3,0,84,11,15,26,1,1,2,3,0,3,3,3,0,1,0,87,108,2,1,8,326,4,5,2
"28",2024-03-07,2024,"Round 0","SCG","Steven May","Melbourne","Sydney","Away",11174,7,10,18,85.7,1,0,0,9,0,90,14,7,21,5,0,0,2,0,2,0,1,7,2,0,81,115,0,0,1,347,2,9,0
"29",2024-03-07,2024,"Round 0","SCG","Judd McVee","Melbourne","Sydney","Away",11174,8,11,16,80,0,1,0,2,0,78,14,6,20,6,0,0,0,0,1,3,2,9,1,0,73,95,0,3,3,390,4,4,0
"30",2024-03-07,2024,"Round 0","SCG","Ed Langdon","Melbourne","Sydney","Away",11174,9,12,10,52.6,0,0,2,0,0,90,10,9,19,4,1,0,3,0,5,0,4,3,1,0,79,67,0,0,2,362,7,5,0
"31",2024-03-07,2024,"Round 0","SCG","Trent Rivers","Melbourne","Sydney","Away",11174,4,12,11,64.7,0,0,0,2,0,80,10,7,17,4,0,0,0,0,3,1,4,2,0,1,53,48,1,0,1,304,4,5,0
"32",2024-03-07,2024,"Round 0","SCG","Blake Howes","Melbourne","Sydney","Away",11174,9,9,14,82.4,0,0,0,4,0,74,9,8,17,7,0,0,3,0,1,0,3,5,1,1,74,91,0,0,0,224,4,12,0
"33",2024-03-07,2024,"Round 0","SCG","Alex N-Bullen","Melbourne","Sydney","Away",11174,6,9,10,66.7,0,0,0,1,0,83,6,9,15,2,0,1,6,0,2,3,2,1,1,0,68,80,1,2,1,139,3,2,3
"34",2024-03-07,2024,"Round 0","SCG","Max Gawn","Melbourne","Sydney","Away",11174,9,8,9,64.3,0,0,0,0,0,82,8,6,14,1,0,1,4,37,0,2,6,2,6,4,87,72,0,2,3,38,2,3,1
"35",2024-03-07,2024,"Round 0","SCG","Jake Bowey","Melbourne","Sydney","Away",11174,1,9,11,78.6,0,0,0,1,0,48,13,1,14,3,0,0,1,0,0,0,1,6,0,0,54,53,0,0,0,251,2,1,0
"36",2024-03-07,2024,"Round 0","SCG","Tom Sparrow","Melbourne","Sydney","Away",11174,9,8,12,92.3,0,0,0,1,0,80,3,10,13,2,0,0,9,0,2,3,6,1,1,3,63,70,1,2,3,103,2,4,0
"37",2024-03-07,2024,"Round 0","SCG","Caleb Windsor","Melbourne","Sydney","Away",11174,6,8,8,61.5,0,1,0,2,0,81,6,7,13,0,0,0,4,0,0,1,2,0,0,1,45,58,1,0,4,117,1,3,0
"38",2024-03-07,2024,"Round 0","SCG","Adam Tomlinson","Melbourne","Sydney","Away",11174,7,3,9,75,2,0,0,9,0,100,10,2,12,3,0,0,2,0,0,0,0,7,2,0,53,86,0,0,1,267,2,8,0
"39",2024-03-07,2024,"Round 0","SCG","Jake Lever","Melbourne","Sydney","Away",11174,1,12,10,83.3,0,0,0,5,0,100,9,3,12,6,0,0,0,0,2,0,3,3,0,1,48,54,0,0,2,318,3,4,0
"40",2024-03-07,2024,"Round 0","SCG","Charlie Spargo","Melbourne","Sydney","Away",11174,2,10,9,75,0,0,0,0,1,77,5,7,12,1,0,1,2,0,3,0,3,0,1,2,36,36,0,0,3,134,4,0,2
"41",2024-03-07,2024,"Round 0","SCG","Kade Chandler","Melbourne","Sydney","Away",11174,5,6,9,81.8,0,0,0,2,0,82,4,7,11,2,0,0,3,0,3,0,3,0,0,0,44,52,0,0,2,145,2,2,3
"42",2024-03-07,2024,"Round 0","SCG","Jacob Van Rooyen","Melbourne","Sydney","Away",11174,2,7,9,90,0,0,0,1,0,83,3,7,10,2,1,0,3,0,1,0,2,0,1,1,45,34,0,0,1,110,2,1,2
"43",2024-03-07,2024,"Round 0","SCG","Bailey Laurie  ↗","Melbourne","Sydney","Away",11174,2,6,5,62.5,0,0,0,0,0,42,3,5,8,1,0,0,1,0,3,0,1,1,0,0,26,20,0,0,1,77,2,0,0
"44",2024-03-07,2024,"Round 0","SCG","Bayley Fritsch","Melbourne","Sydney","Away",11174,1,6,5,83.3,0,0,2,1,0,92,6,0,6,2,4,1,3,0,0,0,2,0,1,1,59,68,0,0,5,183,1,0,3
